날짜: 2026-06-26
게임 #144 (보드 #11, 시드 20270011)
대결: 선공 19941  vs  후공 19931

== 보드 (10행 x 17열, 각 칸 1~9) ==
  4 3 3 3 3 4 6 5 7 1 2 8 8 5 5 4 7
  9 7 5 9 5 9 2 5 8 5 2 8 8 1 3 8 5
  5 8 1 9 1 7 5 4 5 1 7 1 9 4 2 7 4
  7 5 9 8 1 7 2 5 6 9 2 9 1 2 9 2 3
  8 5 8 2 3 3 1 8 5 5 9 8 6 1 3 4 1
  5 8 2 1 1 3 1 7 6 4 6 7 5 4 9 5 6
  1 1 8 8 8 3 3 6 6 7 8 8 8 2 8 7 5
  1 6 8 7 6 1 5 8 4 5 1 5 7 3 1 6 2
  9 5 4 3 8 2 3 2 9 3 8 5 8 5 4 1 3
  4 8 9 7 4 8 2 4 6 9 6 9 1 5 8 1 9

== 진행/결과 ==
  선공(FIRST) = 19941    후공(SECOND) = 19931
  --- 진행 과정 ---
      1. [선]19941  (0,9)~(1,10)   점수 선4-후0
      2. [후]19931  (1,13)~(2,14)  점수 선4-후4
      3. [선]19941  (3,12)~(4,13)  점수 선8-후4
      4. [후]19931  (6,13)~(8,13)  점수 선8-후7
      5. [선]19941  (3,16)~(5,16)  점수 선11-후7
      6. [후]19931  (0,3)~(0,5)    점수 선11-후10
      7. [선]19941  (0,0)~(0,2)    점수 선14-후10
      8. [후]19931  (6,16)~(8,16)  점수 선14-후13
      9. [선]19941  (7,6)~(9,6)    점수 선17-후13
     10. [후]19931  (2,7)~(2,9)    점수 선17-후16
     11. [선]19941  (6,0)~(6,2)    점수 선20-후16
     12. [후]19931  (9,7)~(9,8)    점수 선20-후18
     13. [선]19941  (1,7)~(3,7)    점수 선23-후17
     14. [후]19931  (1,6)~(1,8)    점수 선22-후20
     15. [선]19941  (2,11)~(3,11)  점수 선24-후20
     16. [후]19931  (5,2)~(7,2)    점수 선23-후23
     17. [선]19941  (5,1)~(5,4)    점수 선27-후22
     18. [후]19931  (5,5)~(6,6)    점수 선27-후26
     19. [선]19941  (1,4)~(4,4)    점수 선31-후26
     20. [후]19931  (4,3)~(6,3)    점수 선30-후29
     21. [선]19941  (6,8)~(7,8)    점수 선32-후29
     22. [후]19931  (7,0)~(8,0)    점수 선32-후31
     23. [선]19941  (0,13)~(0,14)  점수 선34-후31
     24. [후]19931  (2,2)~(2,3)    점수 선34-후33
     25. [선]19941  (9,11)~(9,12)  점수 선36-후33
     26. [후]19931  (7,7)~(8,7)    점수 선36-후35
     27. [선]19941  (8,3)~(9,3)    점수 선38-후35
     28. [후]19931  (5,8)~(5,9)    점수 선38-후37
     29. [선]19941  (3,1)~(4,1)    점수 선40-후37
     30. [후]19931  (4,8)~(4,9)    점수 선40-후39
     31. [선]19941  (7,11)~(8,11)  점수 선42-후39
     32. [후]19931  (9,15)~(9,16)  점수 선42-후41
     33. [선]19941  PASS               점수 선42-후41
     34. [후]19931  PASS               점수 선42-후41
  --- 결과 ---  최종 점수 선42-후41  →  19941 승   (정상 종료)
