날짜: 2026-06-26
게임 #160 (보드 #13, 시드 20270013)
대결: 선공 19931  vs  후공 18913

== 보드 (10행 x 17열, 각 칸 1~9) ==
  4 3 7 3 2 5 2 8 8 4 1 6 5 9 3 6 6
  9 6 5 1 5 8 8 1 8 4 2 2 1 5 1 4 8
  9 8 7 1 9 2 9 5 5 7 1 4 7 1 9 6 8
  5 6 3 2 5 9 4 3 3 8 4 9 7 1 3 9 1
  9 3 2 2 6 9 8 4 6 2 9 2 7 2 2 6 4
  4 1 8 8 8 2 5 7 5 6 1 2 4 1 5 4 7
  3 2 9 3 9 9 5 2 8 3 4 8 5 8 5 9 3
  2 2 1 2 4 5 9 9 6 8 3 1 8 3 9 3 8
  6 8 9 4 4 6 4 8 2 3 4 6 3 8 1 1 5
  9 8 7 3 7 8 7 5 8 8 1 1 7 1 5 3 8

== 진행/결과 ==
  선공(FIRST) = 19931    후공(SECOND) = 18913
  --- 진행 과정 ---
      1. [선]19931  (5,0)~(6,1)    점수 선4-후0
      2. [후]18913  (8,14)~(9,15)  점수 선4-후4
      3. [선]19931  (9,10)~(9,13)  점수 선8-후4
      4. [후]18913  (0,3)~(0,5)    점수 선8-후7
      5. [선]19931  (3,2)~(3,4)    점수 선11-후7
      6. [후]18913  (1,10)~(1,13)  점수 선11-후11
      7. [선]19931  (0,13)~(2,13)  점수 선14-후10
      8. [후]18913  (8,8)~(9,8)    점수 선14-후12
      9. [선]19931  (1,14)~(2,14)  점수 선16-후12
     10. [후]18913  (4,15)~(4,16)  점수 선16-후14
     11. [선]19931  (0,11)~(2,11)  점수 선19-후13
     12. [후]18913  (1,15)~(2,15)  점수 선19-후15
     13. [선]19931  (3,6)~(3,8)    점수 선22-후15
     14. [후]18913  (1,7)~(4,7)    점수 선21-후19
     15. [선]19931  (5,12)~(5,14)  점수 선24-후19
     16. [후]18913  (9,3)~(9,4)    점수 선24-후21
     17. [선]19931  (4,13)~(6,13)  점수 선26-후21
     18. [후]18913  (6,12)~(6,14)  점수 선25-후24
     19. [선]19931  (8,10)~(8,11)  점수 선27-후24
     20. [후]18913  (0,9)~(0,12)   점수 선26-후28
     21. [선]19931  (0,1)~(0,2)    점수 선28-후28
     22. [후]18913  (8,5)~(8,6)    점수 선28-후30
     23. [선]19931  (0,6)~(0,7)    점수 선30-후30
     24. [후]18913  (1,5)~(2,5)    점수 선30-후32
     25. [선]19931  (3,9)~(4,9)    점수 선32-후32
     26. [후]18913  (4,10)~(5,10)  점수 선32-후34
     27. [선]19931  (4,9)~(5,11)   점수 선37-후32
     28. [후]18913  (4,2)~(4,4)    점수 선37-후35
     29. [선]19931  (1,3)~(5,3)    점수 선41-후34
     30. [후]18913  (1,2)~(1,4)    점수 선40-후37
     31. [선]19931  (5,4)~(5,5)    점수 선42-후37
     32. [후]18913  (5,6)~(6,6)    점수 선42-후39
     33. [선]19931  (5,16)~(6,16)  점수 선44-후39
     34. [후]18913  (6,7)~(6,8)    점수 선44-후41
     35. [선]19931  (2,9)~(6,9)    점수 선46-후41
     36. [후]18913  (2,8)~(3,10)   점수 선43-후47
     37. [선]19931  (0,12)~(2,14)  점수 선47-후45
     38. [후]18913  (0,9)~(1,15)   점수 선40-후54
     39. [선]19931  (7,1)~(8,1)    점수 선42-후54
     40. [후]18913  (6,2)~(7,2)    점수 선42-후56
     41. [선]19931  PASS               점수 선42-후56
     42. [후]18913  (5,0)~(7,2)    점수 선37-후63
     43. [선]19931  (2,2)~(6,3)    점수 선42-후60
     44. [후]18913  PASS               점수 선42-후60
     45. [선]19931  PASS               점수 선42-후60
  --- 결과 ---  최종 점수 선42-후60  →  18913 승   (정상 종료)
